path,git_blob,ownership,class,status,review_method,finding_refs
.claude/settings.json,176e6a5a759d0caef81821729f349bfd7b88babb,APP_OWNED,OTHER,PASS,git_ls_files+pattern_scan,
.easignore,973817c7632c29e087e6b4cee8c225ef616ea309,APP_OWNED,APP_BUILD_CONFIG,FIXED_VERIFIED,manual_review+secret_exclusion+eas_archive,SEC-06;DEP-04
.env.example,c39c7100df16a6c565f6eb6e627009e0c630a81d,APP_OWNED,ENV_TEMPLATE,FIXED_VERIFIED,manual_review+secret_shape_scan,
.github/pull_request_template.md,abdaa4f70a998c15f6190d40ac2eed55d3deb07f,APP_OWNED,CI_CONFIG,PASS,manual_review+secret_shape_scan,DEP-01
.github/workflows/ci.yml,eecdc9575a6e058339f98c92f4a8ad241d75d92e,APP_OWNED,CI_CONFIG,PASS,manual_review+secret_shape_scan,DEP-01
.github/workflows/pages.yml,b72d63cb1143af8aa065d69cb8bf7d0898465e7f,APP_OWNED,CI_CONFIG,PASS,manual_review+secret_shape_scan,DEP-01
.gitignore,b13e3b707739e0f5e7428fb63135ec29935a6ea7,APP_OWNED,REPOSITORY_CONFIG,FIXED_VERIFIED,manual_review+secret_shape_scan+audit_private_path_exclusion,
AGENTS.md,902de9b13fec6ea3a1bc670c596b8688da6b4136,APP_OWNED,DOCUMENTATION,PASS,manual_full_read,
app-store/assets/scan-meal-chicken-bowl.png,d0a6f6cdda0250434daeaa8e9836f9378430ee93,APP_OWNED,BINARY_ASSET,PASS,file_inventory,
app-store/previews/de-DE-contact-sheet.jpg,ecdd37b5f4b2cb5d55bd7dbe509085e27dfa3a9c,APP_OWNED,BINARY_ASSET,PASS,file_inventory,
app-store/previews/en-US-contact-sheet.jpg,2fd4b076ed36a2fbd2e7e109115423098597f764,APP_OWNED,BINARY_ASSET,PASS,file_inventory,
app-store/README.md,fd5fe3bb1d25ac375edeb37ddffd951cdf8c550e,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
app-store/screenshots/de-DE/01-next.png,f286f12bc08c67c194238e180eea670983a09d2b,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/de-DE/02-scan.png,d6034f5026d5aaf4549211c5860f6d7e9abc57ab,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/de-DE/03-adapt.png,57ea1c91c3bc3d9a18051d5168302a71ce5d4963,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/de-DE/04-log.png,e0d780e8e57bbc784b933db95c126fd89d3a1153,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/de-DE/05-recipe.png,41184ef680472ecc1784a8f99ef0a015d797e656,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/en-US/01-next.png,a7b963931b164b26e006e411d612254c42bbb848,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/en-US/02-scan.png,9eccf82c29eb1edbb1089194f08c72af87edf260,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/en-US/03-adapt.png,398b545b9aecc532191952be8fe25f1189b1df11,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/en-US/04-log.png,6cff0d6cec33283deaca842b5de3b114afc42d15,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app-store/screenshots/en-US/05-recipe.png,50caee288c31e4014aab570bee1971fe7c6d7fdb,APP_OWNED,GENERATED_STORE_ASSET,PASS,file_inventory+store_screenshot_validator,
app.json,c0f43e29bb10436c4ebecd96e394557aa26886a9,APP_OWNED,APP_BUILD_CONFIG,PASS,manual_review+expo_config+validate_eas,DEP-04
assets/android-icon-background.png,ce1d3aa141c7dd523a59d24fb9ca691c30da269f,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/android-icon-foreground.png,5cb62d5f11bab682744a66b2eeaad0e77c162389,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/android-icon-monochrome.png,559d8303c61c23e657139d83eeb00323ad42c655,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/favicon.png,c13eb81fc16fa1bb06b95c7739f475bdca63ac8e,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/icon.png,ce1d3aa141c7dd523a59d24fb9ca691c30da269f,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/kandro-foreground.svg,f8fc471ad9a03741bcf3b69826b1e10664bcb04b,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/kandro-icon.svg,834ea921d09c2f2da7852efb457e4062ec34a6d7,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/kandro-monochrome.svg,b2888de09903f880bca41e5bfd7bacdc5d05e878,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
assets/meal-bowl.jpg,fb2e53f95f8a1440051e780b299a199f29e5e5d4,THIRD_PARTY_LICENSED_ASSET,APP_ASSET,PASS,file_inventory+THIRD_PARTY_NOTICES,
assets/splash-icon.png,f77c7c7b7c075a4c0c549340c25eb873eee84ee7,APP_OWNED,APP_ASSET,PASS,file_inventory+expo_config_reference,
CLAUDE.md,43c994c2d3617f947bcb5adf1933e21dabe46bb5,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
CONTRIBUTING.md,7b6729c1fe419b987f5e3c4a84c624a2332e0195,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
docs/accuracy-series.csv,c0df221d506d398d082ed8193932219ed37ef46f,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
docs/ACCURACY.md,117c4f0c175886d3ea7cad4dd60d60a283fd6cd8,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
docs/ANALYTICS.md,d995f065a68bbf899f981f6ea5d83b173980681a,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
docs/APP_PRIVACY.md,730580596210e1b27f532e70eef4491d3a5f8b29,APP_OWNED,DOCUMENTATION,FIXED_VERIFIED,targeted_search+cross_reference,
docs/APP_REVIEW_NOTES.md,3bddfd98559e49c719da660f4a73bcb03858a107,APP_OWNED,DOCUMENTATION,FIXED_VERIFIED,targeted_search+cross_reference,
docs/APP_STORE.md,2adb538bd7d36f079abff729bd2aab133eea4140,APP_OWNED,DOCUMENTATION,FIXED_VERIFIED,targeted_search+cross_reference,
docs/ARCHITECTURE.md,1afbae91124894c952e1131d494190413d7300a9,APP_OWNED,DOCUMENTATION,PASS,manual_full_read,
docs/GATEWAY.md,ec7792577ea551fe2f72d8318404d6495bf30348,APP_OWNED,DOCUMENTATION,FIXED_VERIFIED,targeted_search+cross_reference,
docs/PLAN_34_AUDIT.md,384836e647f28b391b7f97d67342fb81d568b1e1,APP_OWNED,DOCUMENTATION,PASS,targeted_search+cross_reference,
docs/ROADMAP.md,cc738808c81a804b81faa313bdb034309f1f53b8,APP_OWNED,DOCUMENTATION,FAIL,manual_full_read,
eas.json,4dec665bdf71d3ca301f54b859cfac5fbaf35993,APP_OWNED,APP_BUILD_CONFIG,PASS,manual_review+expo_config+validate_eas,
LICENSE,30b20e3b5f0f470947ba9480d90587ba07c137b4,APP_OWNED,OTHER,PASS,git_ls_files+pattern_scan,
locales/de.json,04efdcd0e640ff3dc4cae31b2bb079b21fe13c8b,APP_OWNED,APP_BUILD_CONFIG,PASS,manual_review+expo_config+validate_eas,
locales/en.json,1c7fefe91a5219c01f973e936621a7cd506a6f40,APP_OWNED,APP_BUILD_CONFIG,PASS,manual_review+expo_config+validate_eas,
package-lock.json,89cf3aad37322aab8bcaef5c617a3f1e6c9ae377,GENERATED_DEPENDENCY_METADATA,LOCKFILE,PASS,npm_ls+npm_audit+license_integrity_inventory,DEP-01;DEP-02
